day,month,year,hour,minute,second,curLat,curLon,wpLat,wpLon,heading
18,4,2015,9,17,50,59.131786,10.270793,59.131104,10.268907,234.784149
18,4,2015,9,17,51,59.131817,10.270728,59.131104,10.268907,232.756897
18,4,2015,9,17,52,59.131851,10.270668,59.131104,10.268907,230.517822
18,4,2015,9,17,53,59.131874,10.270614,59.131104,10.268907,228.859863
18,4,2015,9,17,54,59.131901,10.270567,59.131104,10.268907,227.065201
18,4,2015,9,17,55,59.131924,10.270522,59.131104,10.268907,225.319031
18,4,2015,9,17,56,59.131947,10.270470,59.131104,10.268907,223.673218
18,4,2015,9,17,57,59.131966,10.270407,59.131104,10.268907,221.807144
18,4,2015,9,17,58,59.131973,10.270342,59.131104,10.268907,220.328094
18,4,2015,9,17,59,59.131973,10.270271,59.131104,10.268907,218.903152
18,4,2015,9,18,0,59.131966,10.270199,59.131104,10.268907,217.600861
18,4,2015,9,18,1,59.131947,10.270125,59.131104,10.268907,216.651779
18,4,2015,9,18,2,59.131935,10.270055,59.131104,10.268907,215.485199
18,4,2015,9,18,3,59.131908,10.269987,59.131104,10.268907,214.738327
18,4,2015,9,18,4,59.131874,10.269917,59.131104,10.268907,214.114624
18,4,2015,9,18,5,59.131851,10.269845,59.131104,10.268907,212.888428
18,4,2015,9,18,6,59.131817,10.269778,59.131283,10.268395,233.103271
18,4,2015,9,18,7,59.131794,10.269715,59.131485,10.267821,252.080688
18,4,2015,9,18,8,59.131763,10.269655,59.131485,10.267821,253.426636
18,4,2015,9,18,9,59.131737,10.269598,59.131485,10.267821,254.505646
18,4,2015,9,18,10,59.131714,10.269545,59.131485,10.267821,255.281311
18,4,2015,9,18,11,59.131672,10.269498,59.131485,10.267821,257.461700
18,4,2015,9,18,12,59.131641,10.269452,59.131660,10.267397,271.114227
18,4,2015,9,18,13,59.131607,10.269412,59.131660,10.267397,273.026459
18,4,2015,9,18,14,59.131565,10.269373,59.131660,10.267397,275.389984
18,4,2015,9,18,15,59.131535,10.269340,59.131660,10.267397,277.033813
18,4,2015,9,18,16,59.131493,10.269305,59.131660,10.267397,279.506012
18,4,2015,9,18,17,59.131458,10.269268,59.131660,10.267397,281.661865
18,4,2015,9,18,18,59.131420,10.269227,59.131660,10.267397,284.288025
18,4,2015,9,18,19,59.131378,10.269185,59.131660,10.267397,286.977997
18,4,2015,9,18,20,59.131348,10.269143,59.131660,10.267397,289.328278
18,4,2015,9,18,21,59.131313,10.269096,59.131660,10.267397,291.782623
18,4,2015,9,18,22,59.131283,10.269055,59.131660,10.267397,293.826843
18,4,2015,9,18,23,59.131248,10.269015,59.131660,10.267397,296.275848
18,4,2015,9,18,24,59.131226,10.268978,59.131660,10.267397,297.942657
18,4,2015,9,18,25,59.131207,10.268950,59.131660,10.267397,299.513184
18,4,2015,9,18,26,59.131191,10.268917,59.131660,10.267397,301.150452
18,4,2015,9,18,27,59.131184,10.268871,59.131660,10.267397,302.308594
18,4,2015,9,18,28,59.131184,10.268822,59.131870,10.266929,305.388733
18,4,2015,9,18,29,59.131199,10.268765,59.131870,10.266929,305.390594
18,4,2015,9,18,30,59.131218,10.268705,59.131870,10.266929,305.728455
18,4,2015,9,18,31,59.131241,10.268645,59.131870,10.266929,305.502136
18,4,2015,9,18,32,59.131264,10.268572,59.131870,10.266929,305.788452
18,4,2015,9,18,33,59.131298,10.268497,59.131870,10.266929,305.504028
18,4,2015,9,18,34,59.131321,10.268415,59.131870,10.266929,305.959259
18,4,2015,9,18,35,59.131355,10.268336,59.131870,10.266929,305.702942
18,4,2015,9,18,36,59.131390,10.268258,59.132114,10.266358,306.607117
18,4,2015,9,18,37,59.131413,10.268180,59.132114,10.266358,306.965637
18,4,2015,9,18,38,59.131447,10.268102,59.132114,10.266358,306.809021
18,4,2015,9,18,39,59.131470,10.268026,59.132114,10.266358,307.165863
18,4,2015,9,18,40,59.131500,10.267953,59.132114,10.266358,306.916321
18,4,2015,9,18,41,59.131527,10.267880,59.132114,10.266358,306.946808
18,4,2015,9,18,42,59.131550,10.267807,59.132114,10.266358,307.330872
18,4,2015,9,18,43,59.131557,10.267734,59.132114,10.266358,308.438354
18,4,2015,9,18,44,59.131557,10.267655,59.132114,10.266358,310.088959
18,4,2015,9,18,45,59.131542,10.267587,59.132374,10.265500,307.896515
18,4,2015,9,18,46,59.131512,10.267530,59.132374,10.265500,309.786499
18,4,2015,9,18,47,59.131485,10.267484,59.132374,10.265500,311.326294
18,4,2015,9,18,48,59.131454,10.267442,59.132374,10.265500,312.790741
18,4,2015,9,18,49,59.131420,10.267400,59.132374,10.265500,314.454468
18,4,2015,9,18,50,59.131393,10.267360,59.132374,10.265500,315.872925
18,4,2015,9,18,51,59.131363,10.267313,59.132374,10.265500,317.387909
18,4,2015,9,18,52,59.131340,10.267259,59.132374,10.265500,319.004517
18,4,2015,9,18,53,59.131313,10.267197,59.132374,10.265500,320.756226
18,4,2015,9,18,54,59.131298,10.267125,59.132374,10.265500,322.316833
18,4,2015,9,18,55,59.131283,10.267050,59.132374,10.265500,323.964417
18,4,2015,9,18,56,59.131264,10.266972,59.132374,10.265500,325.866425
18,4,2015,9,18,57,59.131256,10.266895,59.132374,10.265500,327.422668
18,4,2015,9,18,58,59.131241,10.266830,59.132374,10.265500,328.955841
18,4,2015,9,18,59,59.131233,10.266773,59.132374,10.265500,330.205536
18,4,2015,9,19,0,59.131226,10.266718,59.132374,10.265500,331.438080
18,4,2015,9,19,1,59.131218,10.266664,59.132374,10.265500,332.788422
18,4,2015,9,19,2,59.131207,10.266600,59.132374,10.265500,334.217072
18,4,2015,9,19,3,59.131191,10.266530,59.132374,10.265500,336.034851
18,4,2015,9,19,4,59.131184,10.266460,59.132374,10.265500,337.594818
18,4,2015,9,19,5,59.131168,10.266395,59.132374,10.265500,339.207306
18,4,2015,9,19,6,59.131153,10.266332,59.132374,10.265500,340.762878
